brand,screen_size,ram,rom,mp,battery,price
Nokia,6.52,4,64,13,5050,402800
Samsung,6.6,4,64,50,5000,738000
Infinix,6.6,2,32,8,5000,580000
Tecno,6.6,4,64,13,5000,493960
Infinix,6.6,2,32,8,5000,340500
Tecno,6.8,4,28,64,5000,731400
Redmi,6.53,6,28,13,5000,750000
Tecno,6.0,1,16,5,4000,286200
Tecno,6.52,2,32,8,6000,385840
Samsung,6.4,6,28,64,6000,749000
Infinix,6.6,8,28,50,5000,625000
Tecno,6.0,2,32,5,4000,313000
Samsung,6.5,4,64,48,5000,454000
Tecno,6.8,4,28,64,5000,731400
Tecno,6.6,2,64,13,5000,428240
Tecno,6.0,2,32,5,4000,304900
Samsung,6.4,6,28,64,6000,749000
Samsung,6.6,4,64,50,5000,619000
Tecno,6.6,2,64,13,5000,428000
Tecno,6.8,8,56,64,5000,1086500
Samsung,6.5,4,28,50,5000,1200000
Samsung,6.5,3,32,13,5000,480000
Infinix,6.6,4,64,13,5000,458000
Samsung,6.6,4,28,50,5000,693000
Tecno,6.6,4,28,50,5000,667800
Infinix,6.6,8,28,50,5000,625000
Infinix,6.6,8,28,50,5000,750000
Tecno,6.6,2,64,13,5000,428240
Samsung,6.5,4,64,48,5000,454000
Infinix,6.6,2,32,8,5000,373000
Tecno,6.0,2,32,5,4000,317820
Infinix,6.82,4,64,13,6000,478000
Itel,6.3,2,32,5,4000,312700
Samsung,6.6,4,28,50,6000,609000
Tecno,6.8,6,28,48,5000,1000000
Tecno,6.0,1,16,5,4000,400000
Samsung,6.6,4,28,50,5000,693000
Itel,6.6,2,32,8,5000,359340
Infinix,6.82,4,64,13,6000,478000
Vivo,6.51,4,64,13,5000,700000
Tecno,6.1,2,32,5,5000,367290
Infinix,6.82,4,28,13,6000,570000
Samsung,6.4,4,64,64,6000,699000
Tecno,6.8,8,56,64,5000,1086500
Tecno,6.6,4,28,13,5000,606320
Redmi,6.53,4,28,13,5000,499000
Infinix,6.6,2,32,8,5000,375000
Redmi,6.53,3,64,13,5000,480000
Redmi,6.43,4,28,48,5000,581000
Tecno,6.8,4,64,13,6000,493960
Redmi,6.7,8,28,50,6000,739000
Infinix,6.6,8,28,50,5000,625400
Samsung,6.5,4,64,50,5000,550000
Tecno,6.6,4,28,13,5000,595000
Samsung,6.5,4,64,48,6000,527000
Samsung,6.5,4,64,13,5000,510000
Itel,6.6,2,32,8,5000,359340
Itel,5.45,2,32,5,4000,307400
Infinix,6.6,4,64,13,5000,500000
Vivo,6.55,4,64,50,5000,700000
Itel,6.6,1,16,5,4000,276660
Redmi,6.53,4,28,13,5000,800000
Vivo,6.51,4,64,13,5000,514000
Infinix,6.6,2,32,8,5000,390000
Vivo,6.55,4,64,50,5000,700000
Itel,6.6,1,16,5,4000,276660
Infinix,6.6,2,64,13,5000,434600
Tecno,6.6,4,64,13,5000,542720
Redmi,6.53,4,28,13,5000,800000
Vivo,6.51,4,64,13,5000,514000
Itel,6.8,2,64,13,6000,440000
Tecno,6.8,6,28,13,6000,590000
Tecno,6.0,2,32,5,4000,346620
Samsung,6.5,6,28,48,5000,950000
Samsung,6.5,3,32,13,5000,445000
Infinix,6.6,2,32,8,5000,391100
Tecno,6.8,4,64,13,6000,490000
Tecno,6.1,2,32,5,5000,353000
Tecno,6.8,6,28,64,5000,755000
Tecno,6.8,4,28,64,5000,745000
Infinix,6.6,4,64,13,5000,458000
Samsung,6.6,6,28,50,5000,960000
Infinix,6.7,8,56,50,5000,980000
Itel,6.6,1,16,5,4000,275000
Infinix,6.82,4,28,13,6000,570000
Infinix,6.6,2,32,8,5000,375000
Infinix,6.6,2,32,8,5000,375000
Tecno,6.1,2,32,5,5000,347000
Hisence,6.52,1,16,8,4500,260000
Samsung,6.6,4,64,50,5000,619000
Tecno,6.8,8,56,64,5000,1095000
Hisence,5.0,1,8,5,2000,190000
Samsung,6.6,4,28,50,5000,730000
Samsung,6.6,4,64,50,5000,550000
Tecno,6.5,2,32,13,5000,400000
