,Area,Location,No. of Bedrooms,New/Resale,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Clubhouse,Gas Connection,Price_in_Lakhs
0,400,Airoli,1,0,1,1,1,1,0,0,62.0
1,1000,Airoli,2,0,1,1,1,1,1,0,95.0
2,1245,Airoli,2,1,1,1,0,0,0,1,149.0
3,1183,Airoli,2,1,1,1,0,1,1,0,140.0
4,1245,Airoli,2,0,1,1,1,1,0,0,148.0
5,495,Airoli,1,0,0,0,0,0,0,0,64.0
6,1050,Airoli,2,0,1,0,0,0,0,1,111.0
7,600,Airoli,1,0,1,0,0,1,1,1,75.0
8,600,Airoli,1,0,1,0,0,0,0,1,75.0
9,650,Airoli,1,0,0,0,0,0,1,0,76.0
10,650,Airoli,1,0,1,0,0,0,0,1,65.0
11,780,Airoli,1,0,1,0,0,0,0,1,95.0
12,640,Airoli,1,0,1,0,0,0,0,1,66.0
13,660,Airoli,1,0,0,0,0,0,0,0,78.0
14,660,Airoli,1,0,1,0,0,0,0,1,78.0
15,666,Airoli,1,0,0,0,0,0,0,0,59.0
16,700,Airoli,1,0,1,0,0,0,0,1,70.0
17,680,Airoli,1,0,0,0,0,0,0,0,70.0
18,1245,Airoli,2,0,1,0,0,0,1,0,140.0
19,650,Airoli,1,0,0,0,0,0,0,1,61.0
20,675,Airoli,1,0,1,0,0,1,1,0,75.0
21,600,Airoli,1,0,0,0,0,0,0,1,70.0
22,952,Airoli,2,0,1,0,0,0,0,0,84.0
23,660,Airoli,1,0,0,0,0,0,0,0,84.0
24,600,Airoli,1,0,1,0,0,0,0,1,73.0
25,1600,Others,3,0,1,1,1,1,0,1,750.0
26,675,Others,1,1,1,1,0,1,0,0,25.48
27,660,Others,1,1,1,1,0,1,0,0,24.92
28,640,Others,1,1,1,1,0,1,1,0,24.18
29,730,Ambernath East,1,1,1,1,1,1,0,0,38.74
30,595,Ambernath East,1,1,1,1,1,1,0,0,22.25
31,994,Ambernath East,2,1,1,0,0,0,1,0,39.99
32,993,Ambernath East,2,1,1,0,0,0,1,0,39.54999
33,925,Ambernath East,2,1,1,0,0,0,1,0,34.15
34,918,Ambernath East,2,1,1,0,0,0,1,0,34.1
35,650,Ambernath East,1,1,1,0,0,0,1,0,23.0
36,1010,Ambernath East,2,1,1,0,0,0,1,0,42.0
37,690,Ambernath East,1,1,1,0,0,0,1,0,28.0
38,725,Ambernath East,1,1,1,1,0,1,1,0,36.5
39,827,Ambernath East,1,1,1,1,0,1,1,0,31.0
40,634,Ambernath West,1,1,1,1,0,1,1,0,23.74
41,910,Ambernath West,2,1,1,0,0,0,1,1,36.0
42,709,Ambernath West,1,1,1,0,0,0,0,0,28.36
43,797,Ambernath West,1,1,1,0,0,0,0,0,31.88
44,630,Ambernath West,1,1,1,0,0,0,0,0,25.2
45,644,Ambernath West,1,1,1,0,0,0,0,0,25.76
46,709,Ambernath West,1,1,1,0,0,0,0,0,28.36
47,630,Ambernath West,1,1,0,0,0,0,0,0,25.2
48,644,Ambernath West,1,1,0,0,0,0,0,0,25.76
49,766,Ambernath West,1,1,1,0,0,0,0,0,30.64
50,797,Ambernath West,1,1,1,0,0,0,0,0,31.88
51,1100,Others,2,0,1,1,1,1,1,0,180.0
52,1000,Others,2,0,1,1,1,1,1,0,140.0
53,1480,Others,3,0,1,1,1,1,1,0,300.0
54,650,Others,1,0,1,1,1,1,0,0,175.0
55,3025,Others,4,1,1,1,1,1,1,0,653.0
56,1000,Others,2,0,0,1,1,1,0,0,240.0
57,1450,Others,3,1,1,1,0,1,1,0,294.0
58,900,Others,3,1,1,1,0,1,0,0,222.0
59,1040,Others,2,1,1,1,0,1,1,0,153.0
60,1114,Andheri East,3,1,1,1,0,0,1,0,170.0
61,1260,Andheri East,2,1,1,1,0,1,1,0,200.0
62,2016,Andheri East,3,1,1,1,0,1,1,0,334.0
63,655,Andheri East,2,0,0,1,1,1,0,0,111.0
64,922,Andheri East,2,0,1,1,1,1,1,1,168.0
65,1050,Andheri East,1,0,1,1,1,1,1,1,175.0
66,1020,Andheri East,1,0,1,1,0,1,1,0,165.0
67,915,Andheri East,2,0,1,1,1,1,1,1,148.0
68,915,Andheri East,2,0,1,1,1,1,1,1,150.0
69,1020,Andheri East,2,1,1,1,0,1,1,1,180.0
70,650,Andheri East,2,0,0,1,1,1,0,0,140.0
